ZIP,TRACT,RES_RATIO,DATE,ZIP,TRACT,RES_RATIO,DATE,ZIP,TRACT,RES_RATIO,DATE
,,,,94102,6075012201.0,0.0022715190179305013,2020-09-01,,,,
,,,,94102,6075016000.0,0.06075105118167319,2020-09-01,,,,
,,,,94102,6075016802.0,0.1056981296215746,2020-09-01,,,,
,,,,94102,6075011700.0,0.0014015755642549901,2020-09-01,,,,
,,,,94102,6075016801.0,0.04286888018945435,2020-09-01,,,,
,,,,94102,6075016100.0,0.026774926296457398,2020-09-01,,,,
,,,,94102,6075061500.0,0.0,2020-09-01,,,,
,,,,94102,6075012502.0,0.11444589435020057,2020-09-01,,,,
,,,,94102,6075017601.0,0.0,2020-09-01,,,,
,,,,94102,6075012100.0,0.0156589821661592,2020-09-01,,,,
,,,,94102,6075016200.0,0.11526750761200522,2020-09-01,,,,
,,,,94102,6075012402.0,0.12483688560243585,2020-09-01,,,,
,,,,94102,6075012301.0,0.0665506742061766,2020-09-01,,,,
,,,,94102,6075012401.0,0.093325600502634,2020-09-01,,,,
,,,,94102,6075012302.0,0.04779855976028225,2020-09-01,,,,
,,,,94102,6075012501.0,0.13479290512783335,2020-09-01,,,,
,,,,94102,6075016300.0,0.04755690880092794,2020-09-01,,,,
,,,,94103,6075017802.0,0.15489967087801254,2020-09-01,,,,
,,,,94103,6075022704.0,0.00042467353222210426,2020-09-01,,,,
,,,,94103,6075022802.0,5.308419152776303e-05,2020-09-01,,,,
,,,,94103,6075060700.0,0.014969742010829176,2020-09-01,,,,
,,,,94103,6075018000.0,0.051757086739568955,2020-09-01,,,,
,,,,94103,6075017601.0,0.3760484127826733,2020-09-01,,,,
,,,,94103,6075020300.0,0.018473298651661536,2020-09-01,,,,
,,,,94103,6075017700.0,0.04485614184095976,2020-09-01,,,,
,,,,94103,6075061500.0,0.007272534239303535,2020-09-01,,,,
,,,,94103,6075012402.0,0.0,2020-09-01,,,,
,,,,94103,6075017801.0,0.0472449304597091,2020-09-01,,,,
,,,,94103,6075020200.0,0.15330714513217963,2020-09-01,,,,
