id,year,month,date_time,lat,lon,neighborhood,geoid
14483386,2021,10,2021-10-16 01:34:36,37.77994034311,-122.40786820191,South of Market,06075017602
13409091,2021,1,2021-01-25 07:32:00,37.79133605957,-122.41764068604,Nob Hill,06075011101
13373735,2021,1,2021-01-15 03:00:58,37.77640833,-122.42611667,Hayes Valley,06075016200
13384734,2021,1,2021-01-19 07:38:48,37.78353997933,-122.42007791164,Tenderloin,06075012406
13407413,2021,1,2021-01-24 12:40:00,37.76573562622,-122.41735839844,Mission,06075017700
13404792,2021,1,2021-01-23 02:11:00,37.78744135448,-122.3993874279,South of Market,06075061501
13374176,2021,1,2021-01-15 04:21:00,37.77343742247,-122.42845292072,Lower Haight,06075016802
13435593,2021,1,2021-01-31 01:27:55,37.76119442,-122.43252609,Castro,06075020601
14482687,2021,10,2021-10-15 05:53:51,37.76663667,-122.412645,Mission,06075017700
13458831,2021,2,2021-02-05 08:54:48,37.77457312871,-122.41391702803,South of Market,06075017603
13451230,2021,2,2021-02-04 08:34:30,37.78778992,-122.39505328,South of Market,06075061503
13464372,2021,2,2021-02-07 05:22:51,37.78728861814,-122.42159861641,Lower Nob Hill,06075012002
15217959,2022,4,2022-04-14 08:31:04,37.77707321992,-122.42826259155,Hayes Valley,06075016300
13475203,2021,2,2021-02-10 09:31:00,37.7789007,-122.4216778,Civic Center,06075016200
13441558,2021,2,2021-02-01 06:12:06,37.7830536,-122.4212529,Cathedral Hill,06075016000
13916893,2021,6,2021-06-08 07:16:28,37.757254,-122.425305,Dolores Heights,06075020701
13398234,2021,1,2021-01-21 07:40:52,37.79145,-122.39102167,Financial District,06075061507
13420298,2021,1,2021-01-27 11:48:00,37.74221333,-122.405655,Apparel City,06075980900
13437068,2021,2,2021-02-01 12:07:39,37.7834863803,-122.42007623864,Tenderloin,06075012406
13400762,2021,1,2021-01-22 01:07:29,37.75027424,-122.40398135,Potrero Hill,06075022903
13422891,2021,1,2021-01-28 07:15:00,37.77232822047,-122.4238632145,Mint Hill,06075016802
15207753,2022,4,2022-04-12 10:29:53,37.79441954139,-122.39371327348,Financial District,06075010500
13381851,2021,1,2021-01-18 10:43:00,37.73832321167,-122.40564727783,Apparel City,06075023001
