624,37.781289279204664,-122.50150110572575
625,37.781413823085906,-122.49951593577863
804,37.78136983527099,-122.49970167875288
1415,37.78141090823151,-122.498507425189
1416,37.78104363565782,-122.5062945485115
2268,37.78137354508771,-122.49955717474221
2460,37.78134,-122.5002
2477,37.78168,-122.4935
2994,37.78131,-122.5004
3784,37.78125,-122.5016
4255,37.78102,-122.5063
4257,37.78109,-122.5053
4258,37.78133,-122.5004
4261,37.78153,-122.496
4803,37.78133,-122.4999
4804,37.78129,-122.5009
5203,37.78115,-122.5055
5205,37.78146,-122.4978
5206,37.78151,-122.5007
5208,37.78442,-122.5026
5647,37.70817,-122.4013
6043,37.78115,-122.5042
6048,37.7815,-122.4972
6289,37.78422,-122.5044
6811,37.78151,-122.4976
6813,37.78154,-122.4956
7165,37.70793,-122.4058
7771,37.78378,-122.5031
8146,37.70692,-122.4012
8162,37.70762,-122.4058
8397,37.78421,-122.5048
8413,37.78288,-122.502
8826,37.78133,-122.4999
9159,37.78133,-122.5002
9160,37.78125,-122.502
9378,37.78563,-122.4994
9380,37.78424,-122.5034
9383,37.78676,-122.4995
9424,37.7868,-122.5011
9878,37.78112,-122.5046
9881,37.7815,-122.4975
9886,37.78399,-122.5048
9947,37.70726,-122.3941
10178,37.78153,-122.4975
10631,37.78147,-122.4977
10696,37.78413,-122.5048
10805,37.78769,-122.5044
10835,37.78774,-122.5036
10883,37.78384,-122.503
10977,37.78749,-122.5001
11227,37.78762,-122.5044
11275,37.78761,-122.5042
11283,37.78593,-122.507
11285,37.78777,-122.5038
11304,37.78733,-122.5031
11316,37.78514,-122.5083
11348,37.78747,-122.4999
11379,37.78479,-122.5053
11405,37.78428,-122.5048
11406,37.78131,-122.5013
