TC02 - Historical Tent Counts,,,,,,,,,,,
Observed,Location,Tents,Structures,Passenger Vehicles,Other Vehicles,District,Neighborhood,Supervisor,Latitude,Longitude,
12/10/25,"3225 LINCOLN WAY, SAN FRANCISCO, CA 94122",0,0,1,1,TARAVAL,Outer Sunset,4,37.76473208468619,-122.49275509268047,
12/10/25,"43 LANGTON ST, SAN FRANCISCO, CA 94103",1,1,0,0,SOUTHERN,South of Market,6,37.777012526990795,-122.40917913615704,
12/10/25,"885 VAN NESS AVE, SAN FRANCISCO, CA 94109",1,0,0,0,NORTHERN,Cathedral Hill,2,37.783675450464905,-122.42113977670668,
12/10/25,"366 REDWOOD ST, SAN FRANCISCO, CA 94102",0,1,0,0,NORTHERN,Civic Center,5,37.780329489318156,-122.42228139191866,
12/10/25,"1432 STOCKTON ST, SAN FRANCISCO, CA 94133",0,1,0,0,CENTRAL,North Beach,3,37.798822727308064,-122.40883346647024,
12/10/25,"340 ELM ST, SAN FRANCISCO, CA 94102",0,1,0,0,NORTHERN,Cathedral Hill,5,37.781240256555556,-122.42285270243883,
12/10/25,"254 LARCH ST, SAN FRANCISCO, CA 94102",0,1,0,0,NORTHERN,Cathedral Hill,5,37.78233597125185,-122.42170102894305,
12/10/25,"456 MINNA ST, SAN FRANCISCO, CA 94103",1,1,0,1,SOUTHERN,South of Market,6,37.78127947467747,-122.40736093372108,
12/10/25,"624 MINNA ST, SAN FRANCISCO, CA 94103",2,2,1,0,SOUTHERN,South of Market,6,37.77821297873257,-122.41120185703039,
12/10/25,"918 COLUMBUS AVE, SAN FRANCISCO, CA 94133",0,1,0,0,CENTRAL,Russian Hill,3,37.80301662538349,-122.41394810378553,
12/10/25,"611 BEACH ST, SAN FRANCISCO, CA 94133",0,1,0,0,CENTRAL,Fisherman's Wharf,2,37.806761553103655,-122.4191217496991,
12/10/25,"2461 GREAT HWY, SAN FRANCISCO, CA 94116",0,0,0,1,TARAVAL,Outer Sunset,4,37.74055986634604,-122.5069024041295,
12/10/25,"3020 LARKIN ST, SAN FRANCISCO, CA 94109",0,1,0,0,CENTRAL,Aquatic Park / Ft. Mason,2,37.805891100178314,-122.42201048880816,
12/10/25,"2349 GREAT HWY, SAN FRANCISCO, CA 94116",0,0,2,2,TARAVAL,Outer Sunset,4,37.742553905934834,-122.50714883208275,
12/10/25,"35 LASKIE ST, SAN FRANCISCO, CA 94103",0,0,3,0,TENDERLOIN,South of Market,6,37.77690891092654,-122.41438630968331,
12/10/25,"INTERSECTION SANTIAGO ST, GREAT HWY, SAN FRANCISCO, CA 94116",0,0,2,0,TARAVAL,Outer Sunset,4,37.74358656454479,-122.50718671828507,
12/10/25,"32 DE WOLF ST, SAN FRANCISCO, CA 94112",0,0,0,2,INGLESIDE,Outer Mission,11,37.7112608343246,-122.4539777263999,
12/10/25,"2207 GREAT HWY, SAN FRANCISCO, CA 94116",0,0,2,0,TARAVAL,Outer Sunset,4,37.74514758825767,-122.50744421035053,
12/10/25,"2841 ALEMANY BLVD, SAN FRANCISCO, CA 94112",0,0,1,1,INGLESIDE,Outer Mission,11,37.712686475183375,-122.4510370194912,
12/10/25,"21 MERLIN ST, SAN FRANCISCO, CA 94107",4,2,0,0,SOUTHERN,South of Market,6,37.77838416739276,-122.40213699638844,
12/10/25,"2729 ALEMANY BLVD, SAN FRANCISCO, CA 94112",0,0,2,0,INGLESIDE,Outer Mission,11,37.71363361601986,-122.4494669213891,
12/10/25,"250 DORE ST, SAN FRANCISCO, CA 94103",1,1,0,0,SOUTHERN,South of Market,6,37.77149046292422,-122.40995328873394,
12/10/25,"384 DORE ST, SAN FRANCISCO, CA 94103",0,4,0,1,SOUTHERN,Showplace Square,6,37.77023610159822,-122.40849215537308,
12/10/25,"2770 ALEMANY BLVD, SAN FRANCISCO, CA 94112",0,0,1,0,INGLESIDE,Outer Mission,11,37.71359913616815,-122.45023302733898,
12/10/25,"701 JAMESTOWN AVE, SAN FRANCISCO, CA 94124",0,0,0,2,BAYVIEW,Bret Harte,10,37.71475200939404,-122.38892193585903,
12/10/25,"1362 POST ST, SAN FRANCISCO, CA 94109",0,0,0,1,NORTHERN,Cathedral Hill,2,37.78630425689771,-122.42451097816227,
12/10/25,"1056 EDDY ST, SAN FRANCISCO, CA 94109",1,0,0,0,NORTHERN,Cathedral Hill,5,37.78242500563817,-122.42511682212353,
12/10/25,"5515 MISSION ST, SAN FRANCISCO, CA 94112",0,0,0,1,INGLESIDE,Crocker Amazon,11,37.712383313293216,-122.44484379887581,
